Accession ID	Collection date	Submission date	Location
EPI_ISL_7501222	11/13/21	12/11/21	North America / USA / Colorado
EPI_ISL_7501225	11/15/21	12/11/21	North America / USA / Colorado
EPI_ISL_7501378	11/11/21	12/11/21	North America / USA / Colorado
EPI_ISL_7503881	11/15/21	12/11/21	North America / USA / Colorado
EPI_ISL_7503882	11/18/21	12/11/21	North America / USA / Colorado
EPI_ISL_7503922	11/16/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504172	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504176	11/17/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504271	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504300	11/17/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504401	11/15/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504818	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504856	11/18/21	12/11/21	North America / USA / Colorado
EPI_ISL_7504951	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7505033	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7505126	11/21/21	12/11/21	North America / USA / Colorado
EPI_ISL_7616011	11/11/21	12/13/21	North America / USA / Colorado
EPI_ISL_7616396	11/11/21	12/13/21	North America / USA / Colorado
EPI_ISL_7617050	11/13/21	12/13/21	North America / USA / Colorado
EPI_ISL_7617600	11/11/21	12/13/21	North America / USA / Colorado
EPI_ISL_7618888	11/11/21	12/13/21	North America / USA / Colorado
EPI_ISL_7652274	11/12/21	12/14/21	North America / USA / Colorado
EPI_ISL_7652378	11/12/21	12/14/21	North America / USA / Colorado
EPI_ISL_7653527	11/13/21	12/14/21	North America / USA / Colorado
EPI_ISL_7653529	11/13/21	12/14/21	North America / USA / Colorado
EPI_ISL_7653955	11/14/21	12/14/21	North America / USA / Colorado
EPI_ISL_7654032	11/14/21	12/14/21	North America / USA / Colorado
EPI_ISL_7655051	11/15/21	12/14/21	North America / USA / Colorado
EPI_ISL_7679683	11/5/21	12/15/21	North America / USA / Colorado
EPI_ISL_7680097	11/11/21	12/15/21	North America / USA / Colorado
EPI_ISL_7692117	11/21/21	12/15/21	North America / USA / Colorado
EPI_ISL_7692134	11/21/21	12/15/21	North America / USA / Colorado
EPI_ISL_7693740	11/15/21	12/15/21	North America / USA / Colorado
EPI_ISL_7693763	11/15/21	12/15/21	North America / USA / Colorado
EPI_ISL_7693788	11/15/21	12/15/21	North America / USA / Colorado
EPI_ISL_7693902	11/15/21	12/15/21	North America / USA / Colorado
EPI_ISL_7712014	11/22/21	12/16/21	North America / USA / Colorado
EPI_ISL_7712092	11/21/21	12/16/21	North America / USA / Colorado
EPI_ISL_7712282	11/24/21	12/16/21	North America / USA / Colorado
EPI_ISL_7746557	12/1/21	12/17/21	North America / USA / Colorado
EPI_ISL_7768691	11/29/21	12/17/21	North America / USA / Colorado
EPI_ISL_7790595	11/16/21	12/17/21	North America / USA / Colorado
EPI_ISL_7790731	11/16/21	12/17/21	North America / USA / Colorado
EPI_ISL_7800466	12/8/21	12/17/21	North America / USA / Colorado
EPI_ISL_7800965	11/23/21	12/17/21	North America / USA / Colorado
EPI_ISL_7800973	11/18/21	12/17/21	North America / USA / Colorado
EPI_ISL_7802673	11/15/21	12/17/21	North America / USA / Colorado
EPI_ISL_7804512	11/21/21	12/17/21	North America / USA / Colorado
EPI_ISL_7804680	11/22/21	12/17/21	North America / USA / Colorado
EPI_ISL_7804749	11/13/21	12/17/21	North America / USA / Colorado
EPI_ISL_7804979	11/15/21	12/17/21	North America / USA / Colorado
EPI_ISL_7804991	11/20/21	12/17/21	North America / USA / Colorado
EPI_ISL_7805020	11/22/21	12/17/21	North America / USA / Colorado
EPI_ISL_7809602	7/13/21	12/17/21	North America / USA / Colorado
EPI_ISL_7830209	11/28/21	12/18/21	North America / USA / Colorado
EPI_ISL_7830261	11/26/21	12/18/21	North America / USA / Colorado
EPI_ISL_7832372	11/17/21	12/18/21	North America / USA / Colorado
EPI_ISL_7832554	11/18/21	12/18/21	North America / USA / Colorado
EPI_ISL_7887925	12/3/21	12/21/21	North America / USA / Colorado
EPI_ISL_7901649	11/24/21	12/21/21	North America / USA / Colorado
EPI_ISL_7917339	11/2/21	12/21/21	North America / USA / Colorado
EPI_ISL_7921978	11/6/21	12/21/21	North America / USA / Colorado
EPI_ISL_7923509	11/26/21	12/21/21	North America / USA / Colorado
EPI_ISL_7923630	11/24/21	12/21/21	North America / USA / Colorado
EPI_ISL_7923729	11/26/21	12/21/21	North America / USA / Colorado
EPI_ISL_7929949	11/9/21	12/21/21	North America / USA / Colorado
EPI_ISL_7935117	11/18/21	12/21/21	North America / USA / Colorado
EPI_ISL_7944824	11/24/21	12/22/21	North America / USA / Colorado
EPI_ISL_7944845	11/24/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957723	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957724	10/15/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957725	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957726	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957727	10/15/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957728	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957729	10/15/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957732	10/29/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957733	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957734	10/14/21	12/22/21	North America / USA / Colorado
EPI_ISL_7957735	10/15/21	12/22/21	North America / USA / Colorado
EPI_ISL_8008152	11/18/21	12/23/21	North America / USA / Colorado
EPI_ISL_8015476	12/8/21	12/23/21	North America / USA / Colorado
EPI_ISL_8064067	12/5/21	12/24/21	North America / USA / Colorado
EPI_ISL_8064186	12/5/21	12/24/21	North America / USA / Colorado
EPI_ISL_8064689	12/2/21	12/25/21	North America / USA / Colorado
EPI_ISL_8064710	12/4/21	12/25/21	North America / USA / Colorado
EPI_ISL_8064784	12/6/21	12/25/21	North America / USA / Colorado
EPI_ISL_8064814	11/29/21	12/25/21	North America / USA / Colorado
EPI_ISL_8078591	11/24/21	12/25/21	North America / USA / Colorado
EPI_ISL_8078639	11/26/21	12/25/21	North America / USA / Colorado
EPI_ISL_8078803	11/26/21	12/25/21	North America / USA / Colorado
EPI_ISL_8079095	11/26/21	12/25/21	North America / USA / Colorado
EPI_ISL_8122135	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8122179	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8122354	12/6/21	12/27/21	North America / USA / Colorado
EPI_ISL_8122442	11/29/21	12/27/21	North America / USA / Colorado
EPI_ISL_8122486	11/29/21	12/27/21	North America / USA / Colorado
EPI_ISL_8122523	11/29/21	12/27/21	North America / USA / Colorado
EPI_ISL_8124077	12/9/21	12/27/21	North America / USA / Colorado
EPI_ISL_8124497	12/7/21	12/27/21	North America / USA / Colorado
EPI_ISL_8125531	12/7/21	12/27/21	North America / USA / Colorado
EPI_ISL_8125873	11/27/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126057	11/27/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126067	11/27/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126068	11/27/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126082	11/27/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126245	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126344	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126371	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126398	11/28/21	12/27/21	North America / USA / Colorado
EPI_ISL_8126519	11/30/21	12/27/21	North America / USA / Colorado
EPI_ISL_8128269	11/23/21	12/27/21	North America / USA / Colorado
EPI_ISL_8128647	11/23/21	12/27/21	North America / USA / Colorado
EPI_ISL_8129219	11/23/21	12/27/21	North America / USA / Colorado
EPI_ISL_8129544	11/24/21	12/27/21	North America / USA / Colorado
EPI_ISL_8129554	11/24/21	12/27/21	North America / USA / Colorado
EPI_ISL_8149911	12/14/21	12/28/21	North America / USA / Colorado
EPI_ISL_8157840	11/29/21	12/28/21	North America / USA / Colorado
EPI_ISL_8158751	12/3/21	12/29/21	North America / USA / Colorado
EPI_ISL_8158824	12/14/21	12/29/21	North America / USA / Colorado
EPI_ISL_8158846	12/16/21	12/29/21	North America / USA / Colorado
EPI_ISL_8158855	12/5/21	12/29/21	North America / USA / Colorado
EPI_ISL_8158872	12/17/21	12/29/21	North America / USA / Colorado
EPI_ISL_8158894	12/8/21	12/29/21	North America / USA / Colorado
EPI_ISL_8159071	12/1/21	12/29/21	North America / USA / Colorado
EPI_ISL_8159339	12/10/21	12/29/21	North America / USA / Colorado
EPI_ISL_8160358	12/15/21	12/29/21	North America / USA / Colorado
EPI_ISL_8160385	12/11/21	12/29/21	North America / USA / Colorado
EPI_ISL_8160417	12/4/21	12/29/21	North America / USA / Colorado
EPI_ISL_8161294	12/13/21	12/29/21	North America / USA / Colorado
EPI_ISL_8161343	12/4/21	12/29/21	North America / USA / Colorado
EPI_ISL_8161606	12/1/21	12/29/21	North America / USA / Colorado
EPI_ISL_8162076	12/6/21	12/29/21	North America / USA / Colorado
EPI_ISL_8162459	12/2/21	12/29/21	North America / USA / Colorado
EPI_ISL_8162482	12/6/21	12/29/21	North America / USA / Colorado
EPI_ISL_8183723	12/17/21	12/29/21	North America / USA / Colorado
EPI_ISL_8264788	12/17/21	12/31/21	North America / USA / Colorado
EPI_ISL_8267859	12/11/21	1/1/22	North America / USA / Colorado
EPI_ISL_8309415	12/3/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310050	12/4/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310200	12/4/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310296	12/4/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310364	12/4/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310380	12/4/21	1/3/22	North America / USA / Colorado
EPI_ISL_8310668	12/6/21	1/3/22	North America / USA / Colorado
EPI_ISL_8314557	12/20/21	1/3/22	North America / USA / Colorado
EPI_ISL_8325461	12/21/21	1/4/22	North America / USA / Colorado
EPI_ISL_8325610	12/18/21	1/4/22	North America / USA / Colorado
EPI_ISL_8364075	12/15/21	1/4/22	North America / USA / Colorado
EPI_ISL_8371121	12/1/21	1/4/22	North America / USA / Colorado
EPI_ISL_8371370	12/1/21	1/4/22	North America / USA / Colorado
EPI_ISL_8374921	9/29/21	1/5/22	North America / USA / Colorado
EPI_ISL_8379180	12/5/21	1/5/22	North America / USA / Colorado
EPI_ISL_8424092	12/7/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424285	12/8/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424301	12/8/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424633	12/8/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424647	12/8/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424860	12/9/21	1/6/22	North America / USA / Colorado
EPI_ISL_8424887	12/9/21	1/6/22	North America / USA / Colorado
EPI_ISL_8436385	12/13/21	1/7/22	North America / USA / Colorado
EPI_ISL_8468421	12/14/21	1/7/22	North America / USA / Colorado
EPI_ISL_8475260	12/21/21	1/7/22	North America / USA / Colorado
EPI_ISL_8515622	12/23/21	1/9/22	North America / USA / Colorado
EPI_ISL_8520087	12/14/21	1/9/22	North America / USA / Colorado
EPI_ISL_8520137	12/14/21	1/9/22	North America / USA / Colorado
EPI_ISL_8520150	12/14/21	1/9/22	North America / USA / Colorado
EPI_ISL_8534071	12/8/21	1/10/22	North America / USA / Colorado
EPI_ISL_8534087	12/8/21	1/10/22	North America / USA / Colorado
EPI_ISL_8534347	12/8/21	1/10/22	North America / USA / Colorado
EPI_ISL_8534710	12/8/21	1/10/22	North America / USA / Colorado
EPI_ISL_8535244	12/9/21	1/10/22	North America / USA / Colorado
EPI_ISL_8535779	12/13/21	1/10/22	North America / USA / Colorado
EPI_ISL_8536306	12/14/21	1/10/22	North America / USA / Colorado
EPI_ISL_8536900	12/17/21	1/10/22	North America / USA / Colorado
EPI_ISL_8563528	12/14/21	1/11/22	North America / USA / Colorado
EPI_ISL_8563538	12/5/21	1/11/22	North America / USA / Colorado
EPI_ISL_8563543	12/20/21	1/11/22	North America / USA / Colorado
EPI_ISL_8563544	12/20/21	1/11/22	North America / USA / Colorado
EPI_ISL_8563546	12/22/21	1/11/22	North America / USA / Colorado
EPI_ISL_8563820	12/17/21	1/11/22	North America / USA / Colorado
EPI_ISL_8585610	12/11/21	1/11/22	North America / USA / Colorado
EPI_ISL_8585635	12/11/21	1/11/22	North America / USA / Colorado
EPI_ISL_8585761	12/11/21	1/11/22	North America / USA / Colorado
EPI_ISL_8586334	12/12/21	1/11/22	North America / USA / Colorado
EPI_ISL_8643684	12/20/21	1/13/22	North America / USA / Colorado
EPI_ISL_8643726	12/17/21	1/13/22	North America / USA / Colorado
EPI_ISL_8715995	12/16/21	1/14/22	North America / USA / Colorado
EPI_ISL_8716281	12/17/21	1/14/22	North America / USA / Colorado
EPI_ISL_8716327	12/17/21	1/14/22	North America / USA / Colorado
EPI_ISL_8716973	12/17/21	1/14/22	North America / USA / Colorado
EPI_ISL_8717003	12/17/21	1/14/22	North America / USA / Colorado
EPI_ISL_8717080	12/17/21	1/14/22	North America / USA / Colorado
EPI_ISL_8717285	12/19/21	1/14/22	North America / USA / Colorado
EPI_ISL_8748735	12/23/21	1/15/22	North America / USA / Colorado
EPI_ISL_8828829	12/15/21	1/19/22	North America / USA / Colorado
EPI_ISL_9395164	1/16/22	2/1/22	North America / USA / Colorado
